aX,aY,aZ,gX,gY,gZ
0.153,0.588,0.694,5.737,-0.732,0.366
0.032,0.507,0.866,5.920,-0.488,0.244
0.222,0.604,0.702,6.165,0.061,0.427
0.123,0.567,0.735,6.104,-0.183,0.427
0.049,0.509,0.871,5.615,0.305,0.488
0.233,0.611,0.687,4.639,1.343,0.244
0.092,0.549,0.773,4.578,1.648,-0.244
0.089,0.530,0.842,3.906,2.380,-0.732
0.192,0.594,0.729,3.662,2.502,-1.038
0.129,0.568,0.763,4.456,2.136,-1.343
0.114,0.548,0.778,5.371,1.953,-1.648
0.140,0.556,0.768,6.470,2.136,-2.808
0.148,0.555,0.775,6.714,3.235,-3.662
0.153,0.561,0.786,5.432,3.296,-3.174
0.161,0.572,0.784,3.906,2.747,-2.075
0.161,0.576,0.785,2.991,1.648,-0.854
0.157,0.581,0.777,2.625,0.183,0.061
0.151,0.584,0.771,2.991,-1.282,0.793
0.149,0.575,0.768,4.272,-2.197,1.099
0.150,0.567,0.767,5.493,-2.502,0.610
0.151,0.563,0.771,5.798,-2.502,0.183
0.154,0.559,0.772,5.554,-2.014,0.122
0.153,0.561,0.774,5.066,-1.404,0.427
0.153,0.563,0.774,4.211,-0.977,0.671
0.151,0.566,0.771,3.662,-0.610,1.099
0.149,0.570,0.769,3.235,-0.549,1.465
0.147,0.570,0.764,3.235,-0.793,1.587
0.145,0.571,0.765,3.540,-0.732,1.831
0.144,0.570,0.766,3.906,-0.732,2.258
0.146,0.564,0.768,4.456,-1.099,2.625
0.144,0.562,0.771,4.456,-1.709,2.625
0.139,0.562,0.771,4.761,-2.258,2.686
0.133,0.559,0.767,4.944,-2.502,2.502
0.129,0.554,0.767,5.188,-2.136,2.319
0.128,0.552,0.769,4.883,-1.587,1.831
0.129,0.553,0.771,4.150,-0.732,1.587
0.132,0.554,0.774,3.540,0.061,1.465
0.135,0.556,0.774,3.052,0.366,1.343
0.135,0.560,0.774,3.052,0.305,0.977
0.135,0.562,0.772,3.296,-0.244,0.671
0.139,0.562,0.771,3.662,-0.916,0.549
0.138,0.563,0.771,4.089,-1.160,0.488
0.133,0.563,0.770,4.211,-1.526,0.793
0.135,0.558,0.770,3.845,-1.343,1.099
0.135,0.557,0.769,3.357,-1.038,1.282
0.134,0.561,0.766,3.174,-1.038,1.099
0.137,0.560,0.766,3.479,-1.282,1.038
0.136,0.561,0.765,4.150,-1.892,0.732
0.131,0.562,0.766,4.700,-2.502,0.732
0.131,0.558,0.766,5.005,-2.502,0.549
0.133,0.557,0.767,4.883,-2.258,0.488
0.069,0.516,0.857,4.272,-1.770,0.488
0.234,0.603,0.702,3.601,-1.221,0.671
0.104,0.553,0.772,3.479,-1.282,0.854
0.094,0.526,0.864,3.418,-0.916,0.793
0.245,0.628,0.671,3.967,-1.465,0.732
0.056,0.526,0.833,4.944,-2.319,0.549
0.133,0.543,0.831,4.944,-2.014,0.427
0.226,0.618,0.674,4.333,-1.770,0.305
0.042,0.518,0.860,3.418,-1.160,0.305
0.168,0.570,0.797,2.197,-0.122,0.549
0.209,0.621,0.674,1.892,-0.366,0.916
0.033,0.520,0.865,2.136,-0.732,0.916
0.189,0.590,0.752,2.625,-0.793,0.854
0.178,0.605,0.679,3.296,-1.587,0.671
0.031,0.511,0.862,4.028,-1.953,0.488
0.208,0.608,0.703,4.639,-1.953,0.488
0.143,0.596,0.688,6.104,-2.747,0.549
0.056,0.525,0.836,7.568,-1.953,0.732
0.173,0.572,0.743,7.629,-1.282,1.526
0.139,0.559,0.742,6.714,-1.160,2.319
0.109,0.541,0.773,5.615,-0.183,2.441
0.128,0.544,0.764,4.761,0.610,1.953
0.130,0.547,0.760,3.906,1.160,1.099
0.127,0.551,0.767,3.357,1.221,0.427
0.134,0.557,0.764,2.991,1.404,0.000
0.138,0.561,0.768,2.930,1.282,-0.244
0.140,0.562,0.770,2.869,1.038,-0.122
0.138,0.563,0.771,2.808,0.854,0.183
0.139,0.561,0.773,2.625,0.488,0.671
0.137,0.562,0.772,2.502,0.366,0.793
0.137,0.561,0.772,2.625,0.366,0.732
0.138,0.562,0.771,3.052,0.183,0.366
0.142,0.561,0.774,3.601,-0.061,0.061
0.134,0.547,0.797,3.967,-0.427,-0.122
0.222,0.610,0.677,3.906,-0.732,-0.305
0.045,0.513,0.840,4.028,-0.977,-0.244
0.165,0.556,0.789,3.418,-0.488,-0.305
0.200,0.604,0.672,2.869,-0.732,-0.305
0.034,0.502,0.868,2.808,-0.732,-0.488
0.209,0.590,0.726,2.686,-0.244,-0.427
0.170,0.592,0.691,3.418,-0.793,-0.427
0.045,0.510,0.870,3.723,-1.038,-0.244
0.230,0.604,0.700,3.967,-1.099,0.000
0.134,0.572,0.720,4.578,-1.587,0.122
0.055,0.507,0.866,4.578,-1.465,-0.061
0.240,0.612,0.679,4.272,-1.099,-0.183
0.104,0.557,0.757,4.333,-1.282,-0.366
0.084,0.523,0.859,4.211,-0.916,-0.488
0.248,0.627,0.668,4.028,-0.977,-0.244
0.079,0.545,0.796,4.272,-1.343,-0.183
0.116,0.540,0.839,3.906,-0.977,-0.244
0.245,0.628,0.660,3.662,-0.977,-0.061
0.062,0.531,0.826,3.906,-1.343,0.305
0.148,0.559,0.809,3.967,-0.977,0.671
0.231,0.625,0.657,4.456,-1.221,0.854
0.041,0.519,0.849,5.005,-1.709,0.977
0.169,0.572,0.778,5.432,-1.465,1.221
0.197,0.609,0.670,5.737,-1.770,1.099
0.028,0.505,0.868,5.737,-1.709,1.099
0.192,0.582,0.747,5.676,-1.038,0.793
0.170,0.591,0.691,5.676,-1.160,0.366
0.036,0.496,0.879,5.798,-0.916,0.244
0.222,0.587,0.723,5.432,-0.305,0.183
0.150,0.570,0.725,4.944,-0.549,0.427
0.055,0.500,0.886,4.150,-0.183,0.854
0.240,0.601,0.704,3.662,-0.183,1.221
0.116,0.556,0.763,3.845,-1.099,1.160
0.103,0.535,0.819,4.089,-1.221,0.977
0.152,0.564,0.768,4.272,-1.343,0.610
0.134,0.561,0.766,4.395,-1.221,0.183
0.126,0.553,0.783,4.089,-0.549,0.183
0.138,0.559,0.777,3.479,0.000,0.488
0.139,0.557,0.775,3.418,-0.122,0.610
0.141,0.556,0.776,3.723,-0.488,0.610
0.139,0.556,0.774,4.211,-1.343,0.366
0.134,0.552,0.774,4.456,-2.075,0.122
0.131,0.549,0.772,4.150,-2.319,0.061
0.131,0.551,0.772,3.052,-1.770,0.061
0.134,0.557,0.771,1.953,-0.732,0.305
0.137,0.561,0.769,1.282,-0.122,0.488
0.136,0.567,0.767,1.526,-0.122,0.671
0.137,0.565,0.765,2.625,-0.671,0.244
0.136,0.562,0.767,3.662,-1.282,-0.122
