aX,aY,aZ,gX,gY,gZ
-0.138,0.270,0.888,3.296,-1.221,0.610
-0.193,0.208,1.048,3.174,-1.465,0.427
-0.077,0.285,0.866,2.991,-1.282,0.305
-0.166,0.260,0.910,3.235,-1.648,0.122
-0.182,0.211,1.034,3.174,-1.221,0.061
-0.074,0.291,0.842,2.930,-1.038,0.244
-0.181,0.243,0.938,2.808,-0.977,0.366
-0.161,0.217,1.012,2.319,-0.610,0.305
-0.075,0.300,0.820,2.319,-0.366,0.122
-0.191,0.235,0.965,2.747,-0.732,-0.061
-0.133,0.235,0.988,3.296,-0.732,-0.122
-0.076,0.306,0.821,3.906,-1.221,-0.366
-0.197,0.230,1.002,4.395,-1.648,-0.366
-0.112,0.252,0.966,4.211,-1.282,-0.061
-0.093,0.305,0.834,4.028,-1.221,0.061
-0.201,0.225,1.030,3.540,-1.099,0.305
-0.094,0.269,0.934,2.930,-0.366,0.671
-0.110,0.298,0.848,2.747,-0.305,0.854
-0.200,0.217,1.039,2.930,-0.366,1.221
-0.083,0.275,0.901,2.930,-0.244,1.343
-0.133,0.277,0.867,3.296,-0.793,1.221
-0.197,0.203,1.042,3.479,-0.671,1.160
-0.077,0.277,0.872,3.662,-0.610,1.038
-0.157,0.260,0.896,4.028,-1.160,0.977
-0.187,0.202,1.038,3.967,-1.038,0.793
-0.076,0.283,0.848,3.662,-0.854,0.793
-0.178,0.243,0.929,3.601,-1.099,0.488
-0.169,0.209,1.025,3.540,-0.671,0.244
-0.075,0.296,0.834,3.418,-0.549,0.000
-0.190,0.237,0.963,3.723,-1.038,-0.244
-0.148,0.229,1.005,4.028,-0.916,-0.427
-0.083,0.305,0.828,3.845,-1.038,-0.427
-0.201,0.227,0.995,3.784,-1.160,-0.305
-0.125,0.241,0.979,3.113,-0.549,-0.122
-0.092,0.299,0.828,2.441,-0.427,-0.122
-0.207,0.217,1.017,2.014,-0.183,0.000
-0.104,0.256,0.942,1.587,0.671,0.183
-0.102,0.295,0.835,1.953,0.366,0.000
-0.202,0.215,1.030,2.319,-0.061,-0.061
-0.087,0.269,0.908,2.747,-0.427,-0.061
-0.120,0.283,0.856,3.296,-1.160,-0.122
-0.196,0.209,1.039,3.540,-1.160,-0.061
-0.077,0.281,0.880,3.540,-0.977,0.000
-0.145,0.274,0.882,3.540,-1.099,0.305
-0.187,0.214,1.039,3.296,-0.732,0.244
-0.070,0.296,0.857,3.113,-0.488,0.244
-0.163,0.264,0.914,3.540,-0.916,0.244
-0.170,0.219,1.029,3.601,-0.732,0.244
-0.070,0.301,0.837,3.540,-0.732,0.183
-0.181,0.247,0.947,4.028,-1.099,0.122
-0.151,0.225,1.013,4.089,-0.732,0.305
-0.072,0.305,0.828,3.967,-0.671,0.427
-0.193,0.234,0.982,3.784,-0.916,0.427
-0.132,0.240,0.989,3.723,-0.793,0.488
-0.086,0.303,0.827,3.723,-1.099,0.366
-0.202,0.223,1.011,3.784,-1.282,0.183
-0.110,0.252,0.957,3.784,-1.099,0.061
-0.099,0.298,0.832,3.784,-1.526,-0.061
-0.205,0.216,1.027,4.028,-1.587,0.000
-0.095,0.263,0.922,4.150,-1.099,0.244
-0.122,0.288,0.848,4.272,-1.160,0.366
-0.204,0.210,1.039,4.089,-0.854,0.488
-0.084,0.272,0.892,3.662,-0.305,0.488
-0.138,0.275,0.874,3.723,-0.427,0.427
-0.189,0.210,1.044,3.479,-0.366,0.183
-0.069,0.286,0.867,3.357,-0.427,0.122
-0.155,0.265,0.904,3.418,-0.916,0.183
-0.177,0.215,1.035,3.357,-0.732,0.244
-0.068,0.297,0.844,3.418,-0.549,0.122
-0.173,0.252,0.935,3.601,-0.854,0.183
-0.157,0.222,1.018,3.601,-0.671,0.244
-0.069,0.305,0.828,3.479,-0.793,0.305
-0.190,0.237,0.966,3.723,-1.099,0.427
-0.143,0.234,0.994,3.479,-0.732,0.671
-0.084,0.303,0.824,3.601,-0.671,0.671
-0.207,0.223,1.000,3.662,-0.854,0.488
-0.124,0.244,0.969,3.357,-0.488,0.427
-0.101,0.295,0.830,3.418,-0.732,0.305
-0.211,0.211,1.024,3.296,-0.732,0.183
-0.103,0.256,0.940,3.052,-0.244,-0.061
-0.111,0.288,0.848,2.991,-0.610,-0.305
-0.200,0.211,1.042,3.113,-0.671,-0.427
-0.081,0.275,0.907,2.930,-0.610,-0.305
-0.124,0.286,0.868,3.296,-1.160,-0.183
-0.191,0.218,1.044,3.479,-1.221,0.183
-0.071,0.289,0.878,3.418,-1.160,0.366
-0.144,0.274,0.894,3.601,-1.343,0.427
-0.178,0.216,1.039,3.296,-1.099,0.610
-0.066,0.298,0.847,2.991,-1.038,0.610
-0.166,0.261,0.918,3.052,-1.160,0.610
-0.163,0.222,1.020,3.113,-0.916,0.732
-0.072,0.305,0.827,3.174,-0.793,0.671
-0.185,0.244,0.951,3.601,-1.099,0.549
-0.148,0.227,1.000,3.723,-0.671,0.671
-0.080,0.302,0.818,3.723,-0.793,0.549
-0.204,0.228,0.983,3.784,-0.916,0.427
-0.133,0.241,0.974,3.479,-0.305,0.427
-0.093,0.300,0.822,3.540,-0.122,0.366
-0.207,0.217,1.012,3.723,-0.183,0.305
-0.108,0.255,0.948,3.723,-0.183,0.244
-0.105,0.292,0.840,4.150,-0.793,0.244
-0.205,0.208,1.037,4.272,-1.160,0.305
-0.094,0.263,0.918,3.784,-1.038,0.244
-0.129,0.282,0.856,3.845,-1.160,0.061
-0.202,0.209,1.043,3.662,-0.793,-0.122
-0.079,0.281,0.887,3.601,-0.488,-0.366
-0.138,0.277,0.884,3.662,-0.977,-0.488
-0.179,0.212,1.043,3.723,-1.099,-0.366
-0.064,0.293,0.860,3.784,-1.099,-0.305
-0.154,0.267,0.913,3.967,-1.404,-0.183
-0.166,0.223,1.034,3.967,-1.221,-0.061
-0.064,0.307,0.840,3.845,-1.221,0.427
-0.176,0.257,0.944,3.845,-1.526,0.671
-0.154,0.232,1.015,3.784,-1.221,0.732
-0.073,0.309,0.827,3.784,-1.221,0.854
-0.197,0.236,0.974,4.089,-1.526,0.793
-0.141,0.237,0.986,3.845,-1.038,0.793
-0.089,0.301,0.821,3.601,-0.671,0.854
-0.208,0.218,1.002,3.601,-0.488,0.854
-0.118,0.245,0.956,3.540,-0.183,0.671
-0.103,0.290,0.828,3.662,-0.366,0.427
-0.212,0.207,1.024,3.723,-0.366,0.427
-0.104,0.254,0.925,3.357,-0.244,0.244
-0.121,0.282,0.847,3.479,-0.305,-0.183
-0.204,0.207,1.040,3.601,-0.244,-0.305
-0.086,0.271,0.900,3.357,0.000,-0.305
-0.136,0.279,0.874,3.296,-0.244,-0.183
-0.196,0.213,1.044,3.235,-0.061,-0.183
-0.072,0.288,0.873,3.052,0.244,-0.061
-0.151,0.269,0.901,3.235,-0.244,-0.061
-0.178,0.219,1.037,3.235,-0.061,0.061
-0.064,0.301,0.848,3.113,0.061,0.061
-0.164,0.258,0.935,3.357,-0.427,-0.061
-0.151,0.226,1.026,3.418,-0.488,0.183
-0.060,0.308,0.834,3.296,-0.732,0.244
-0.182,0.244,0.967,3.418,-1.282,0.793
-0.140,0.234,1.000,3.418,-1.160,0.977
-0.078,0.306,0.823,3.296,-1.038,0.793
-0.202,0.229,0.992,3.357,-0.854,0.732
-0.125,0.248,0.968,3.174,-0.549,0.488
-0.092,0.302,0.823,3.357,-0.916,0.427
-0.205,0.216,1.015,3.540,-1.099,0.488
-0.104,0.258,0.933,3.418,-0.793,0.488
-0.111,0.291,0.835,3.601,-1.038,0.427
-0.205,0.209,1.034,3.540,-0.977,0.488
-0.087,0.271,0.905,3.296,-0.732,0.427
-0.128,0.285,0.859,3.540,-0.977,0.427
-0.199,0.213,1.040,3.479,-0.916,0.610
-0.078,0.284,0.876,3.540,-0.854,0.488
-0.147,0.274,0.888,3.967,-1.099,0.366
-0.183,0.213,1.040,4.089,-0.793,0.366
-0.068,0.293,0.854,3.967,-0.671,0.366
-0.165,0.258,0.920,4.150,-1.038,0.488
-0.166,0.218,1.029,4.028,-0.793,0.549
-0.067,0.302,0.836,3.784,-0.854,0.488
-0.181,0.246,0.955,4.089,-0.916,0.549
-0.150,0.228,1.010,4.150,-0.732,0.488
-0.074,0.305,0.826,3.967,-0.793,0.549
-0.197,0.232,0.985,4.089,-1.099,0.305
-0.127,0.243,0.983,4.089,-0.916,0.122
-0.084,0.305,0.828,4.333,-1.160,0.183
-0.202,0.223,1.016,4.517,-1.526,0.183
-0.108,0.253,0.955,4.272,-1.343,0.183
-0.102,0.296,0.838,4.150,-1.465,0.122
-0.203,0.213,1.034,4.089,-1.343,0.305
-0.090,0.265,0.921,3.723,-0.916,0.305
-0.121,0.285,0.852,3.418,-0.977,0.427
-0.201,0.210,1.038,3.357,-1.038,0.488
-0.080,0.277,0.885,3.235,-0.671,0.549
-0.141,0.275,0.874,3.784,-0.977,0.549
-0.192,0.209,1.038,4.272,-1.221,0.488
-0.075,0.284,0.859,4.089,-1.282,0.427
-0.166,0.260,0.906,4.150,-1.526,0.488
-0.184,0.211,1.032,3.967,-1.099,0.427
-0.075,0.294,0.840,3.601,-0.671,0.244
-0.181,0.248,0.940,3.418,-0.732,0.000
-0.158,0.224,1.019,3.418,-0.183,0.122
-0.073,0.304,0.829,3.357,-0.488,0.122
-0.194,0.235,0.977,3.723,-0.977,0.061
-0.137,0.234,0.997,4.089,-0.977,-0.244
-0.080,0.303,0.830,4.211,-1.282,-0.488
-0.201,0.226,1.007,4.211,-1.465,-0.549
-0.117,0.254,0.967,3.784,-1.160,-0.305
-0.096,0.302,0.834,3.601,-1.221,0.000
-0.207,0.219,1.026,3.235,-1.160,0.244
-0.098,0.263,0.929,2.808,-0.732,0.183
-0.110,0.290,0.843,2.869,-0.977,0.244
-0.198,0.212,1.034,3.174,-0.977,0.061
-0.080,0.273,0.892,3.113,-0.732,0.183
-0.129,0.278,0.860,3.723,-1.099,0.183
-0.193,0.211,1.035,3.784,-1.099,0.427
-0.077,0.285,0.864,3.601,-0.854,0.610
-0.155,0.268,0.888,3.723,-1.221,0.610
-0.187,0.212,1.031,3.784,-0.854,0.488
-0.076,0.293,0.842,3.784,-0.366,0.366
-0.174,0.253,0.925,4.150,-0.610,0.305
-0.165,0.218,1.026,4.211,-0.488,0.244
-0.069,0.300,0.836,4.150,-0.549,0.183
-0.188,0.236,0.965,4.395,-1.282,0.183
-0.148,0.227,1.007,4.089,-1.160,0.000
-0.082,0.303,0.828,4.150,-0.916,0.000
-0.201,0.228,0.998,4.150,-0.916,-0.061
-0.123,0.245,0.981,3.845,-0.671,-0.061
-0.087,0.305,0.832,3.662,-0.916,0.000
-0.203,0.223,1.022,3.845,-1.343,-0.061
-0.103,0.260,0.946,3.784,-1.099,0.122
-0.105,0.294,0.841,3.967,-1.465,0.183
-0.204,0.215,1.036,4.028,-1.709,0.244
-0.091,0.271,0.912,3.784,-1.282,0.183
-0.126,0.286,0.856,3.601,-1.465,0.366
-0.198,0.210,1.037,3.296,-1.099,0.549
-0.079,0.280,0.875,3.174,-0.732,0.549
-0.145,0.272,0.875,3.540,-0.977,0.671
-0.186,0.208,1.031,3.845,-0.793,0.732
-0.071,0.287,0.849,3.906,-0.671,0.610
-0.167,0.255,0.909,4.395,-0.977,0.732
-0.174,0.209,1.026,4.333,-0.671,0.671
-0.075,0.293,0.836,4.333,-0.488,0.305
-0.185,0.243,0.949,4.578,-0.793,0.183
-0.156,0.221,1.017,4.395,-0.549,0.061
-0.077,0.301,0.832,4.150,-0.488,0.061
-0.198,0.233,0.989,4.150,-0.732,0.122
-0.133,0.237,0.998,3.662,-0.305,0.305
-0.083,0.301,0.837,3.479,-0.549,0.549
-0.204,0.222,1.018,3.662,-0.977,0.488
-0.113,0.249,0.965,3.418,-1.099,0.244
-0.101,0.294,0.839,3.479,-1.526,0.244
-0.210,0.214,1.031,3.296,-1.587,0.244
-0.101,0.261,0.925,2.930,-0.916,0.183
-0.122,0.285,0.846,2.747,-0.854,0.244
-0.205,0.208,1.034,2.686,-0.793,0.366
-0.083,0.272,0.886,2.563,-0.366,0.244
-0.135,0.274,0.864,2.930,-0.671,0.000
-0.192,0.208,1.032,3.296,-0.916,0.061
-0.074,0.287,0.856,3.357,-0.916,-0.061
-0.159,0.266,0.893,3.784,-1.221,0.061
-0.181,0.211,1.029,3.845,-0.977,0.244
-0.072,0.296,0.838,3.662,-0.732,0.244
-0.177,0.253,0.931,3.662,-0.732,0.244
-0.159,0.223,1.019,3.784,-0.366,0.183
-0.072,0.304,0.830,4.089,-0.488,0.061
-0.191,0.239,0.970,4.395,-0.854,0.244
-0.142,0.234,1.002,4.272,-0.610,0.183
-0.079,0.305,0.833,4.517,-0.671,0.061
-0.200,0.227,1.007,4.456,-1.038,0.061
-0.116,0.246,0.977,4.211,-0.793,-0.183
-0.091,0.300,0.835,3.967,-0.977,0.061
-0.205,0.218,1.029,4.089,-1.221,0.244
-0.100,0.258,0.939,3.479,-1.160,0.305
-0.113,0.290,0.841,3.662,-1.587,0.183
-0.207,0.212,1.031,3.662,-1.587,0.244
-0.090,0.270,0.896,3.540,-1.160,0.305
-0.133,0.280,0.857,4.028,-1.221,0.305
-0.201,0.206,1.037,4.150,-1.038,0.427
-0.079,0.276,0.870,4.028,-0.732,0.366
-0.151,0.265,0.889,4.395,-0.854,0.305
-0.185,0.208,1.038,4.211,-0.549,0.427
-0.069,0.291,0.853,4.028,-0.549,0.427
-0.169,0.255,0.924,4.089,-0.854,0.305
-0.167,0.219,1.028,3.967,-0.732,0.183
-0.071,0.303,0.836,3.967,-0.732,0.305
-0.185,0.242,0.961,4.211,-1.038,0.305
-0.146,0.229,1.011,4.089,-0.916,0.366
-0.078,0.303,0.830,4.028,-0.916,0.244
-0.199,0.227,0.994,4.150,-1.221,0.427
-0.128,0.238,0.985,3.967,-0.732,0.366
-0.091,0.297,0.831,3.845,-0.732,0.366
-0.208,0.213,1.020,3.784,-0.916,0.366
-0.110,0.247,0.953,3.540,-0.549,0.244
-0.109,0.288,0.841,3.418,-0.732,0.061
-0.210,0.206,1.035,3.113,-0.793,0.122
-0.097,0.264,0.919,2.991,-0.549,0.061
-0.127,0.283,0.858,3.296,-0.854,-0.244
-0.203,0.209,1.042,3.418,-1.221,-0.366
-0.079,0.278,0.887,3.357,-1.038,-0.305
-0.138,0.274,0.881,3.540,-1.404,-0.244
-0.185,0.210,1.042,3.601,-1.282,0.000
-0.068,0.290,0.858,3.418,-0.916,0.183
-0.159,0.264,0.910,3.418,-1.038,0.488
-0.174,0.217,1.029,3.418,-0.854,0.671
-0.072,0.300,0.837,3.418,-0.854,0.671
-0.184,0.247,0.940,3.784,-1.221,0.549
-0.161,0.222,1.013,3.906,-0.977,0.488
-0.079,0.299,0.826,4.150,-1.038,0.427
-0.203,0.229,0.976,4.150,-1.282,0.427
-0.141,0.231,0.989,3.784,-0.366,0.549
-0.088,0.297,0.824,3.235,0.000,0.427
-0.205,0.219,1.006,3.052,0.183,0.244
-0.115,0.247,0.960,2.747,0.732,0.244
-0.097,0.297,0.830,2.808,0.244,0.183
-0.204,0.214,1.026,3.052,-0.305,0.122
-0.096,0.261,0.927,3.479,-0.671,0.061
-0.117,0.286,0.846,3.845,-1.465,0.000
-0.209,0.207,1.038,3.967,-1.465,0.000
-0.091,0.268,0.897,3.723,-0.977,0.244
-0.138,0.272,0.873,3.479,-0.793,0.183
-0.195,0.204,1.045,3.418,-0.305,0.061
-0.073,0.282,0.871,2.991,-0.183,0.183
-0.155,0.264,0.902,3.235,-0.671,0.061
-0.182,0.212,1.037,3.540,-0.671,-0.183
-0.073,0.295,0.846,3.662,-0.916,-0.366
-0.175,0.253,0.935,4.150,-1.160,-0.366
-0.160,0.220,1.027,3.967,-0.793,-0.305
-0.066,0.304,0.836,3.723,-0.732,-0.366
-0.185,0.243,0.970,3.845,-0.977,-0.244
-0.138,0.235,1.004,3.479,-0.610,0.305
-0.074,0.309,0.825,3.479,-0.854,0.244
-0.200,0.233,0.995,3.906,-1.160,0.427
-0.123,0.250,0.969,3.845,-0.977,0.488
-0.092,0.303,0.824,3.906,-1.160,0.549
-0.210,0.218,1.015,4.211,-1.343,0.427
-0.109,0.254,0.934,4.089,-1.038,0.549
-0.113,0.285,0.835,4.028,-0.916,0.793
-0.208,0.202,1.030,4.028,-0.549,0.671
-0.092,0.260,0.904,3.662,-0.061,0.610
-0.130,0.273,0.861,3.662,-0.122,0.549
-0.202,0.202,1.044,3.540,-0.183,0.549
-0.084,0.273,0.882,3.418,-0.122,0.610
-0.152,0.265,0.893,3.662,-0.610,0.488
-0.192,0.205,1.048,3.662,-0.366,0.305
-0.073,0.288,0.863,3.662,-0.305,0.000
-0.166,0.253,0.929,3.784,-0.732,-0.122
-0.166,0.213,1.038,3.601,-0.671,-0.183
-0.068,0.298,0.846,3.418,-0.732,-0.366
-0.182,0.243,0.961,3.296,-1.282,-0.366
-0.146,0.226,1.017,2.991,-0.916,-0.244
-0.073,0.305,0.829,2.747,-1.038,-0.061
-0.196,0.234,0.984,2.625,-1.221,0.000
-0.129,0.242,0.979,2.380,-0.549,0.061
-0.086,0.305,0.820,2.441,-0.671,0.183
-0.207,0.221,1.004,2.808,-0.854,0.305
-0.113,0.252,0.944,2.747,-0.671,0.305
-0.103,0.292,0.826,2.930,-0.732,0.366
-0.209,0.213,1.021,3.296,-0.793,0.244
-0.096,0.265,0.912,3.296,-0.244,0.305
-0.122,0.284,0.847,3.540,-0.549,0.427
-0.205,0.209,1.037,3.906,-0.549,0.427
-0.082,0.276,0.890,3.601,-0.305,0.061
-0.139,0.276,0.880,3.662,-0.671,0.122
-0.189,0.210,1.046,3.601,-0.732,0.183
-0.069,0.287,0.869,3.662,-0.793,0.183
-0.159,0.265,0.914,3.845,-1.160,0.000
-0.176,0.216,1.040,3.845,-1.160,0.122
-0.071,0.299,0.847,3.662,-1.160,0.183
-0.182,0.252,0.940,3.601,-1.221,0.305
-0.161,0.224,1.018,3.235,-0.793,0.427
-0.071,0.303,0.827,2.930,-0.427,0.305
-0.186,0.237,0.971,3.296,-0.610,0.427
-0.128,0.236,0.993,3.357,-0.427,0.427
-0.075,0.303,0.822,3.662,-0.793,0.549
-0.203,0.224,0.999,4.150,-1.343,0.732
-0.121,0.248,0.964,4.211,-1.038,0.488
-0.098,0.297,0.832,4.272,-1.038,0.305
-0.210,0.214,1.026,4.150,-1.221,0.305
-0.103,0.260,0.934,3.784,-0.854,0.366
-0.116,0.286,0.844,3.601,-0.977,0.427
-0.205,0.207,1.039,3.601,-0.793,0.427
-0.085,0.268,0.902,3.235,-0.549,0.244
-0.130,0.276,0.867,3.357,-0.854,-0.061
-0.194,0.208,1.042,3.357,-0.916,-0.244
-0.073,0.281,0.872,3.235,-0.671,-0.061
-0.150,0.269,0.892,3.540,-1.099,0.061
-0.185,0.212,1.036,3.845,-1.038,0.122
-0.074,0.294,0.849,3.723,-0.793,0.366
-0.173,0.255,0.926,3.845,-1.099,0.366
-0.167,0.218,1.027,3.662,-0.732,0.305
-0.071,0.299,0.838,3.357,-0.488,0.488
-0.189,0.239,0.964,3.357,-0.732,0.488
-0.148,0.227,1.008,3.235,-0.610,0.366
-0.078,0.303,0.829,3.174,-0.671,0.183
-0.197,0.230,0.997,3.418,-0.854,0.122
-0.123,0.243,0.984,3.418,-0.671,0.061
-0.088,0.300,0.832,3.540,-0.977,0.000
-0.205,0.219,1.021,3.601,-1.221,-0.122
-0.107,0.257,0.948,3.418,-0.916,-0.122
-0.106,0.296,0.839,3.174,-1.038,-0.061
-0.205,0.214,1.033,2.991,-0.916,0.000
-0.093,0.271,0.910,2.563,-0.427,0.244
-0.126,0.287,0.852,2.625,-0.916,0.488
-0.198,0.211,1.035,2.930,-0.671,0.488
-0.078,0.280,0.878,3.052,-0.610,0.427
-0.146,0.274,0.878,3.601,-1.038,0.366
-0.191,0.210,1.037,3.845,-0.854,0.427
-0.073,0.286,0.855,3.662,-0.610,0.427
-0.165,0.257,0.915,3.784,-0.732,0.305
-0.170,0.214,1.031,3.540,-0.488,0.061
-0.068,0.300,0.837,3.296,-0.549,0.244
-0.180,0.248,0.946,3.479,-0.916,0.244
-0.152,0.229,1.011,3.784,-0.549,0.183
-0.076,0.309,0.826,3.784,-0.610,0.183
-0.197,0.236,0.982,4.028,-0.671,0.366
-0.133,0.239,0.989,3.662,-0.366,0.244
-0.086,0.303,0.826,3.662,-0.610,0.305
-0.206,0.220,1.009,3.662,-0.793,0.244
-0.115,0.248,0.955,3.296,-0.366,0.244
-0.105,0.293,0.831,3.357,-0.732,0.061
-0.211,0.209,1.026,3.601,-0.916,0.122
-0.100,0.258,0.922,3.784,-0.732,0.000
-0.121,0.280,0.851,4.028,-1.282,-0.244
-0.202,0.202,1.041,4.150,-1.404,-0.183
-0.083,0.269,0.894,3.967,-1.343,-0.366
-0.141,0.272,0.876,4.211,-1.770,-0.488
-0.196,0.207,1.045,4.211,-1.648,-0.671
-0.076,0.286,0.870,3.906,-1.404,-0.916
-0.158,0.266,0.911,4.089,-1.648,-1.160
-0.171,0.217,1.046,3.906,-1.343,-1.099
-0.058,0.302,0.855,3.479,-1.282,-0.854
-0.163,0.260,0.947,3.479,-1.465,-0.610
-0.149,0.234,1.030,3.296,-1.221,-0.244
-0.062,0.318,0.836,3.235,-1.343,0.000
-0.185,0.254,0.974,3.479,-1.526,0.305
-0.134,0.247,1.000,3.113,-1.160,0.610
-0.075,0.315,0.824,3.296,-1.343,0.916
-0.197,0.232,0.996,3.540,-1.709,1.160
-0.116,0.247,0.963,3.479,-1.221,1.282
-0.093,0.297,0.821,3.540,-1.343,1.404
-0.210,0.213,1.013,3.662,-1.282,1.465
-0.108,0.253,0.924,3.479,-0.977,1.404
-0.122,0.282,0.829,3.601,-0.977,1.282
-0.217,0.204,1.024,3.784,-0.793,1.099
